"pertanyaan","jawaban","kategori"
"menu udang apa yang ada?","Menu Udang yang tersedia yaitu: UDANG RONGGENG GORENG KERING, UDANG RONGGENG CABE GARAM, UDANG SPESIAL ALA ROYAL'S, UDANG TIM BAWANG PUTIH, UDANG TIM ALA THAILAND, UDANG ASAM MANIS, UDANG SAUS TELUR ASIN, UDANG GORENG TEPUNG, UDANG GORENG MAYONAISE, UDANG GORENG GANDUM, UDANG GORENG MENTEGA dan LUMPIA UDANG.","menu"
"shrimp menu apa saja?","Menu Udang yang tersedia yaitu: UDANG RONGGENG GORENG KERING, UDANG RONGGENG CABE GARAM, UDANG SPESIAL ALA ROYAL'S, UDANG TIM BAWANG PUTIH, UDANG TIM ALA THAILAND, UDANG ASAM MANIS, UDANG SAUS TELUR ASIN, UDANG GORENG TEPUNG, UDANG GORENG MAYONAISE, UDANG GORENG GANDUM, UDANG GORENG MENTEGA dan LUMPIA UDANG.","menu"
"udang ronggeng ada varian apa?","Menu Udang yang tersedia yaitu: UDANG RONGGENG GORENG KERING, UDANG RONGGENG CABE GARAM, UDANG SPESIAL ALA ROYAL'S, UDANG TIM BAWANG PUTIH, UDANG TIM ALA THAILAND, UDANG ASAM MANIS, UDANG SAUS TELUR ASIN, UDANG GORENG TEPUNG, UDANG GORENG MAYONAISE, UDANG GORENG GANDUM, UDANG GORENG MENTEGA dan LUMPIA UDANG.","menu"
"jenis masakan udang apa?","Menu Udang yang tersedia yaitu: UDANG RONGGENG GORENG KERING, UDANG RONGGENG CABE GARAM, UDANG SPESIAL ALA ROYAL'S, UDANG TIM BAWANG PUTIH, UDANG TIM ALA THAILAND, UDANG ASAM MANIS, UDANG SAUS TELUR ASIN, UDANG GORENG TEPUNG, UDANG GORENG MAYONAISE, UDANG GORENG GANDUM, UDANG GORENG MENTEGA dan LUMPIA UDANG.","menu"
"apakah ada udang ronggeng goreng kering?","Tersedia Udang Ronggeng Goreng Kering: Rp.57.000/Ons","menu"
"apakah ada udang ronggeng cabe garam?","Tersedia Udang Ronggeng Cabe Garam: Rp.57.000/Ons","menu"
"apakah ada udang spesial ala royal's?","Tersedia Udang Spesial Ala Royal's: Rp.65.000","menu"
"apakah ada udang tim bawang putih?","Tersedia Udang Tim Bawang Putih: Rp.70.000","menu"
"apakah ada udang tim ala thailand?","Tersedia Udang Tim Ala Thailand: Rp.70.000","menu"
"apakah ada udang asam manis?","Tersedia Udang Asam Manis: Rp.65.000","menu"
"apakah ada udang saus telur asin?","Tersedia Udang Saus Telur Asin: Rp.70.000","menu"
"apakah ada udang goreng tepung?","Tersedia Udang Goreng Tepung: Rp.63.000","menu"
"apakah ada udang goreng mayonaise?","Tersedia Udang Goreng Mayonaise: Rp.65.000","menu"
"apakah ada udang goreng gandum?","Tersedia Udang Goreng Gandum: Rp.65.000","menu"
"apakah ada udang goreng mentega?","Tersedia Udang Goreng Mentega: Rp.65.000","menu"
"apakah ada lumpia udang?","Tersedia Lumpia Udang: Rp.65.000","menu"
"harga UDANG RONGGENG GORENG KERING?","Harga UDANG RONGGENG GORENG KERING: Rp.57.000/Ons","harga"
"udang ronggeng goreng kering berapa?","Harga UDANG RONGGENG GORENG KERING: Rp.57.000/Ons","harga"
"dancing shrimp dry fried price","Harga UDANG RONGGENG GORENG KERING: Rp.57.000/Ons","harga"
"harga udang ronggeng kering per ons","Harga UDANG RONGGENG GORENG KERING: Rp.57.000/Ons","harga"
"udang ronggeng kering harganya?","Harga UDANG RONGGENG GORENG KERING: Rp.57.000/Ons","harga"
"harga UDANG RONGGENG CABE GARAM?","Harga UDANG RONGGENG CABE GARAM: Rp.57.000/Ons","harga"
"udang ronggeng cabe garam berapa?","Harga UDANG RONGGENG CABE GARAM: Rp.57.000/Ons","harga"
"dancing shrimp chili salt price","Harga UDANG RONGGENG CABE GARAM: Rp.57.000/Ons","harga"
"harga udang ronggeng pedas per ons","Harga UDANG RONGGENG CABE GARAM: Rp.57.000/Ons","harga"
"udang ronggeng cabe garam harganya?","Harga UDANG RONGGENG CABE GARAM: Rp.57.000/Ons","harga"
"harga UDANG SPESIAL ALA ROYAL'S?","Harga UDANG SPESIAL ALA ROYAL'S: Rp.65.000","harga"
"udang spesial royal's berapa?","Harga UDANG SPESIAL ALA ROYAL'S: Rp.65.000","harga"
"royal's special shrimp price","Harga UDANG SPESIAL ALA ROYAL'S: Rp.65.000","harga"
"harga udang special royal","Harga UDANG SPESIAL ALA ROYAL'S: Rp.65.000","harga"
"udang royal's harganya?","Harga UDANG SPESIAL ALA ROYAL'S: Rp.65.000","harga"
"harga UDANG TIM BAWANG PUTIH?","Harga UDANG TIM BAWANG PUTIH: Rp.70.000","harga"
"udang tim bawang putih berapa?","Harga UDANG TIM BAWANG PUTIH: Rp.70.000","harga"
"steamed shrimp with garlic price","Harga UDANG TIM BAWANG PUTIH: Rp.70.000","harga"
"harga udang kukus bawang putih","Harga UDANG TIM BAWANG PUTIH: Rp.70.000","harga"
"udang tim garlic harganya?","Harga UDANG TIM BAWANG PUTIH: Rp.70.000","harga"
"harga UDANG TIM ALA THAILAND?","Harga UDANG TIM ALA THAILAND: Rp.70.000","harga"
"udang tim thailand berapa?","Harga UDANG TIM ALA THAILAND: Rp.70.000","harga"
"thai style steamed shrimp price","Harga UDANG TIM ALA THAILAND: Rp.70.000","harga"
"harga udang tim thai","Harga UDANG TIM ALA THAILAND: Rp.70.000","harga"
"udang thailand harganya?","Harga UDANG TIM ALA THAILAND: Rp.70.000","harga"
"harga UDANG ASAM MANIS?","Harga UDANG ASAM MANIS: Rp.65.000","harga"
"udang asam manis berapa?","Harga UDANG ASAM MANIS: Rp.65.000","harga"
"sweet sour shrimp price","Harga UDANG ASAM MANIS: Rp.65.000","harga"
"harga udang sweet sour","Harga UDANG ASAM MANIS: Rp.65.000","harga"
"udang asam manis harganya?","Harga UDANG ASAM MANIS: Rp.65.000","harga"
"harga UDANG SAUS TELUR ASIN?","Harga UDANG SAUS TELUR ASIN: Rp.70.000","harga"
"udang saus telur asin berapa?","Harga UDANG SAUS TELUR ASIN: Rp.70.000","harga"
"salted egg sauce shrimp price","Harga UDANG SAUS TELUR ASIN: Rp.70.000","harga"
"harga udang telur asin","Harga UDANG SAUS TELUR ASIN: Rp.70.000","harga"
"udang telur asin harganya?","Harga UDANG SAUS TELUR ASIN: Rp.70.000","harga"
"harga UDANG GORENG TEPUNG?","Harga UDANG GORENG TEPUNG: Rp.63.000","harga"
"udang goreng tepung berapa?","Harga UDANG GORENG TEPUNG: Rp.63.000","harga"
"fried shrimp with flour price","Harga UDANG GORENG TEPUNG: Rp.63.000","harga"
"harga udang crispy","Harga UDANG GORENG TEPUNG: Rp.63.000","harga"
"udang tepung harganya?","Harga UDANG GORENG TEPUNG: Rp.63.000","harga"
"harga UDANG GORENG MAYONAISE?","Harga UDANG GORENG MAYONAISE: Rp.65.000","harga"
"udang goreng mayonaise berapa?","Harga UDANG GORENG MAYONAISE: Rp.65.000","harga"
"fried shrimp with mayonnaise price","Harga UDANG GORENG MAYONAISE: Rp.65.000","harga"
"harga udang mayo","Harga UDANG GORENG MAYONAISE: Rp.65.000","harga"
"udang mayonaise harganya?","Harga UDANG GORENG MAYONAISE: Rp.65.000","harga"
"harga UDANG GORENG GANDUM?","Harga UDANG GORENG GANDUM: Rp.65.000","harga"
"udang goreng gandum berapa?","Harga UDANG GORENG GANDUM: Rp.65.000","harga"
"fried shrimp with wheat price","Harga UDANG GORENG GANDUM: Rp.65.000","harga"
"harga udang gandum","Harga UDANG GORENG GANDUM: Rp.65.000","harga"
"udang gandum harganya?","Harga UDANG GORENG GANDUM: Rp.65.000","harga"
"harga UDANG GORENG MENTEGA?","Harga UDANG GORENG MENTEGA: Rp.65.000","harga"
"udang goreng mentega berapa?","Harga UDANG GORENG MENTEGA: Rp.65.000","harga"
"fried shrimp with butter price","Harga UDANG GORENG MENTEGA: Rp.65.000","harga"
"harga udang mentega","Harga UDANG GORENG MENTEGA: Rp.65.000","harga"
"udang butter harganya?","Harga UDANG GORENG MENTEGA: Rp.65.000","harga"
"harga LUMPIA UDANG?","Harga LUMPIA UDANG: Rp.65.000","harga"
"lumpia udang berapa?","Harga LUMPIA UDANG: Rp.65.000","harga"
"shrimp spring roll price","Harga LUMPIA UDANG: Rp.65.000","harga"
"harga lumpia dengan udang","Harga LUMPIA UDANG: Rp.65.000","harga"
"lumpia udang harganya?","Harga LUMPIA UDANG: Rp.65.000","harga"
"daftar harga menu udang","Berikut daftar harga menu udang: Udang Ronggeng Rp.57.000/Ons, Goreng Tepung Rp.63.000, Royal's/Asam Manis/Mayonaise/Gandum/Mentega/Lumpia Rp.65.000, Tim/Saus Telur Asin Rp.70.000","harga"
"harga semua olahan udang","Menu udang: Ronggeng Rp.57.000/ons, Goreng Tepung Rp.63.000, Medium Rp.65.000 (6 varian), Premium Rp.70.000 (3 varian)","harga"
"price list shrimp","Udang Ronggeng: Rp.57.000/ons, Basic: Rp.63.000-65.000, Premium: Rp.70.000","harga"
"udang termahal berapa?","Menu udang termahal: UDANG TIM BAWANG PUTIH, UDANG TIM ALA THAILAND, UDANG SAUS TELUR ASIN Rp.70.000","harga"
"udang termurah apa?","Menu udang termurah: UDANG RONGGENG GORENG KERING dan CABE GARAM Rp.57.000/Ons","harga"
"range harga udang","Harga menu udang mulai dari Rp.57.000/ons sampai Rp.70.000 per porsi","harga"
"beda harga udang ronggeng dan biasa","Udang Ronggeng harga per ons Rp.57.000, udang biasa harga tetap per porsi Rp.63.000-70.000","harga"
"udang yang harga per ons","Udang harga per ons: UDANG RONGGENG GORENG KERING dan UDANG RONGGENG CABE GARAM Rp.57.000/Ons","harga"
"udang yang harga tetap","Udang harga tetap: Semua menu udang kecuali ronggeng, harga Rp.63.000-70.000 per porsi","harga"
"recommend udang yang enak","Udang yang enak: UDANG TIM BAWANG PUTIH Rp.70.000 (premium) atau UDANG SPESIAL ALA ROYAL'S Rp.65.000 (special)","menu"
"apa itu udang ronggeng?","Udang Ronggeng adalah udang kecil yang bisa dimakan seluruhnya dengan cangkang, tekstur renyah","menu"
"perbedaan udang tim dan goreng","Udang Tim: dikukus, lebih sehat. Udang Goreng: digoreng, lebih crispy","menu"
"udang saus telur asin kenapa mahal?","UDANG SAUS TELUR ASIN Rp.70.000 lebih mahal karena menggunakan saus telur asin premium","harga"
"harga udang untuk budget 65rb","Udang harga Rp.65.000: UDANG SPESIAL ALA ROYAL'S, ASAM MANIS, GORENG MAYONAISE, GORENG GANDUM, GORENG MENTEGA, LUMPIA UDANG","harga"
"udang goreng tepung murah ya?","Ya, UDANG GORENG TEPUNG Rp.63.000 termasuk yang termurah untuk udang bukan ronggeng","harga"
"lumpia udang isinya apa?","LUMPIA UDANG adalah spring roll dengan isian udang, harga Rp.65.000","menu"
"urutkan harga udang dari termurah","Urutan harga: Udang Ronggeng Rp.57.000/ons, Goreng Tepung Rp.63.000, Medium Rp.65.000 (6 varian), Premium Rp.70.000 (3 varian)","harga"
"udang dengan harga 70rb","Udang harga Rp.70.000: UDANG TIM BAWANG PUTIH, UDANG TIM ALA THAILAND, UDANG SAUS TELUR ASIN","harga"
"perbedaan harga per ons dan per porsi","Per ons: harga tergantung berat, Per porsi: harga tetap sudah termasuk nasi","harga"
"cumi ada menu apa saja?","Menu Cumi yang tersedia yaitu: CUMI ALA ROYAL'S, CUMI SAUS INGGRIS, CUMI SAUS THAILAND, CUMI GORENG MENTEGA, CUMI SAUS TELUR ASIN, CUMI GORENG MAYONAISE, CUMI GORENG TEPUNG, CUMI WOKU, CUMI CABE GARAM, CUMI BAKAR MENTEGA, CUMI BAKAR KECAP, CUMI BAKAR RICA, CUMI ASAM MANIS, CUMI GORENG RICA dan CUMI SAUS PADANG.","menu"
"menu cumi apa yang ada?","Menu Cumi yang tersedia yaitu: CUMI ALA ROYAL'S, CUMI SAUS INGGRIS, CUMI SAUS THAILAND, CUMI GORENG MENTEGA, CUMI SAUS TELUR ASIN, CUMI GORENG MAYONAISE, CUMI GORENG TEPUNG, CUMI WOKU, CUMI CABE GARAM, CUMI BAKAR MENTEGA, CUMI BAKAR KECAP, CUMI BAKAR RICA, CUMI ASAM MANIS, CUMI GORENG RICA dan CUMI SAUS PADANG.","menu"
"squid menu apa saja?","Menu Cumi yang tersedia yaitu: CUMI ALA ROYAL'S, CUMI SAUS INGGRIS, CUMI SAUS THAILAND, CUMI GORENG MENTEGA, CUMI SAUS TELUR ASIN, CUMI GORENG MAYONAISE, CUMI GORENG TEPUNG, CUMI WOKU, CUMI CABE GARAM, CUMI BAKAR MENTEGA, CUMI BAKAR KECAP, CUMI BAKAR RICA, CUMI ASAM MANIS, CUMI GORENG RICA dan CUMI SAUS PADANG.","menu"
"cumi goreng dan bakar ada varian apa?","Menu Cumi yang tersedia yaitu: CUMI ALA ROYAL'S, CUMI SAUS INGGRIS, CUMI SAUS THAILAND, CUMI GORENG MENTEGA, CUMI SAUS TELUR ASIN, CUMI GORENG MAYONAISE, CUMI GORENG TEPUNG, CUMI WOKU, CUMI CABE GARAM, CUMI BAKAR MENTEGA, CUMI BAKAR KECAP, CUMI BAKAR RICA, CUMI ASAM MANIS, CUMI GORENG RICA dan CUMI SAUS PADANG.","menu"
"jenis masakan cumi apa?","Menu Cumi yang tersedia yaitu: CUMI ALA ROYAL'S, CUMI SAUS INGGRIS, CUMI SAUS THAILAND, CUMI GORENG MENTEGA, CUMI SAUS TELUR ASIN, CUMI GORENG MAYONAISE, CUMI GORENG TEPUNG, CUMI WOKU, CUMI CABE GARAM, CUMI BAKAR MENTEGA, CUMI BAKAR KECAP, CUMI BAKAR RICA, CUMI ASAM MANIS, CUMI GORENG RICA dan CUMI SAUS PADANG.","menu"
"apakah ada cumi ala royal's?","Tersedia Cumi Ala Royal's: Rp.55.000","menu"
"apakah ada cumi saus inggris?","Tersedia Cumi Saus Inggris: Rp.50.000","menu"
"apakah ada cumi saus thailand?","Tersedia Cumi Saus Thailand: Rp.58.000","menu"
"apakah ada cumi goreng mentega?","Tersedia Cumi Goreng Mentega: Rp.50.000","menu"
"apakah ada cumi saus telur asin?","Tersedia Cumi Saus Telur Asin: Rp.58.000","menu"
"apakah ada cumi goreng mayonaise?","Tersedia Cumi Goreng Mayonaise: Rp.58.000","menu"
"apakah ada cumi goreng tepung?","Tersedia Cumi Goreng Tepung: Rp.58.000","menu"
"apakah ada cumi woku?","Tersedia Cumi Woku: Rp.50.000","menu"
"apakah ada cumi cabe garam?","Tersedia Cumi Cabe Garam: Rp.58.000","menu"
"apakah ada cumi bakar mentega?","Tersedia Cumi Bakar Mentega: Rp.58.000","menu"
"apakah ada cumi bakar kecap?","Tersedia Cumi Bakar Kecap: Rp.58.000","menu"
"apakah ada cumi bakar rica?","Tersedia Cumi Bakar Rica: Rp.58.000","menu"
"apakah ada cumi asam manis?","Tersedia Cumi Asam Manis: Rp.58.000","menu"
"apakah ada cumi goreng rica?","Tersedia Cumi Goreng Rica: Rp.50.000","menu"
"apakah ada cumi saus padang?","Tersedia Cumi Saus Padang: Rp.58.000","menu"
"harga CUMI ALA ROYAL'S?","Harga CUMI ALA ROYAL'S: Rp.55.000","harga"
"cumi royal's berapa?","Harga CUMI ALA ROYAL'S: Rp.55.000","harga"
"royal's squid price","Harga CUMI ALA ROYAL'S: Rp.55.000","harga"
"harga cumi special royal","Harga CUMI ALA ROYAL'S: Rp.55.000","harga"
"cumi ala royal's harganya?","Harga CUMI ALA ROYAL'S: Rp.55.000","harga"
"harga CUMI SAUS INGGRIS?","Harga CUMI SAUS INGGRIS: Rp.50.000","harga"
"cumi saus inggris berapa?","Harga CUMI SAUS INGGRIS: Rp.50.000","harga"
"english sauce squid price","Harga CUMI SAUS INGGRIS: Rp.50.000","harga"
"harga cumi english sauce","Harga CUMI SAUS INGGRIS: Rp.50.000","harga"
"cumi saus inggris harganya?","Harga CUMI SAUS INGGRIS: Rp.50.000","harga"
"harga CUMI SAUS THAILAND?","Harga CUMI SAUS THAILAND: Rp.58.000","harga"
"cumi saus thailand berapa?","Harga CUMI SAUS THAILAND: Rp.58.000","harga"
"thai sauce squid price","Harga CUMI SAUS THAILAND: Rp.58.000","harga"
"harga cumi thai","Harga CUMI SAUS THAILAND: Rp.58.000","harga"
"cumi thailand harganya?","Harga CUMI SAUS THAILAND: Rp.58.000","harga"
"harga CUMI GORENG MENTEGA?","Harga CUMI GORENG MENTEGA: Rp.50.000","harga"
"cumi goreng mentega berapa?","Harga CUMI GORENG MENTEGA: Rp.50.000","harga"
"fried squid with butter price","Harga CUMI GORENG MENTEGA: Rp.50.000","harga"
"harga cumi mentega","Harga CUMI GORENG MENTEGA: Rp.50.000","harga"
"cumi butter harganya?","Harga CUMI GORENG MENTEGA: Rp.50.000","harga"
"harga CUMI SAUS TELUR ASIN?","Harga CUMI SAUS TELUR ASIN: Rp.58.000","harga"
"cumi saus telur asin berapa?","Harga CUMI SAUS TELUR ASIN: Rp.58.000","harga"
"salted egg sauce squid price","Harga CUMI SAUS TELUR ASIN: Rp.58.000","harga"
"harga cumi telur asin","Harga CUMI SAUS TELUR ASIN: Rp.58.000","harga"
"cumi telur asin harganya?","Harga CUMI SAUS TELUR ASIN: Rp.58.000","harga"
"harga CUMI GORENG MAYONAISE?","Harga CUMI GORENG MAYONAISE: Rp.58.000","harga"
"cumi goreng mayonaise berapa?","Harga CUMI GORENG MAYONAISE: Rp.58.000","harga"
"fried squid with mayonnaise price","Harga CUMI GORENG MAYONAISE: Rp.58.000","harga"
"harga cumi mayo","Harga CUMI GORENG MAYONAISE: Rp.58.000","harga"
"cumi mayonaise harganya?","Harga CUMI GORENG MAYONAISE: Rp.58.000","harga"
"harga CUMI GORENG TEPUNG?","Harga CUMI GORENG TEPUNG: Rp.58.000","harga"
"cumi goreng tepung berapa?","Harga CUMI GORENG TEPUNG: Rp.58.000","harga"
"fried squid with flour price","Harga CUMI GORENG TEPUNG: Rp.58.000","harga"
"harga cumi crispy","Harga CUMI GORENG TEPUNG: Rp.58.000","harga"
"cumi tepung harganya?","Harga CUMI GORENG TEPUNG: Rp.58.000","harga"
"harga CUMI WOKU?","Harga CUMI WOKU: Rp.50.000","harga"
"cumi woku berapa?","Harga CUMI WOKU: Rp.50.000","harga"
"woku squid price","Harga CUMI WOKU: Rp.50.000","harga"
"harga cumi masak woku","Harga CUMI WOKU: Rp.50.000","harga"
"cumi woku harganya?","Harga CUMI WOKU: Rp.50.000","harga"
"harga CUMI CABE GARAM?","Harga CUMI CABE GARAM: Rp.58.000","harga"
"cumi cabe garam berapa?","Harga CUMI CABE GARAM: Rp.58.000","harga"
"chili salt squid price","Harga CUMI CABE GARAM: Rp.58.000","harga"
"harga cumi pedas","Harga CUMI CABE GARAM: Rp.58.000","harga"
"cumi cabe garam harganya?","Harga CUMI CABE GARAM: Rp.58.000","harga"
"harga CUMI BAKAR MENTEGA?","Harga CUMI BAKAR MENTEGA: Rp.58.000","harga"
"cumi bakar mentega berapa?","Harga CUMI BAKAR MENTEGA: Rp.58.000","harga"
"grilled squid with butter price","Harga CUMI BAKAR MENTEGA: Rp.58.000","harga"
"harga cumi bakar butter","Harga CUMI BAKAR MENTEGA: Rp.58.000","harga"
"cumi bakar mentega harganya?","Harga CUMI BAKAR MENTEGA: Rp.58.000","harga"
"harga CUMI BAKAR KECAP?","Harga CUMI BAKAR KECAP: Rp.58.000","harga"
"cumi bakar kecap berapa?","Harga CUMI BAKAR KECAP: Rp.58.000","harga"
"grilled squid with sweet soy price","Harga CUMI BAKAR KECAP: Rp.58.000","harga"
"harga cumi bakar manis","Harga CUMI BAKAR KECAP: Rp.58.000","harga"
"cumi bakar kecap harganya?","Harga CUMI BAKAR KECAP: Rp.58.000","harga"
"harga CUMI BAKAR RICA?","Harga CUMI BAKAR RICA: Rp.58.000","harga"
"cumi bakar rica berapa?","Harga CUMI BAKAR RICA: Rp.58.000","harga"
"grilled rica squid price","Harga CUMI BAKAR RICA: Rp.58.000","harga"
"harga cumi bakar pedas","Harga CUMI BAKAR RICA: Rp.58.000","harga"
"cumi bakar rica harganya?","Harga CUMI BAKAR RICA: Rp.58.000","harga"
"harga CUMI ASAM MANIS?","Harga CUMI ASAM MANIS: Rp.58.000","harga"
"cumi asam manis berapa?","Harga CUMI ASAM MANIS: Rp.58.000","harga"
"sweet sour squid price","Harga CUMI ASAM MANIS: Rp.58.000","harga"
"harga cumi sweet sour","Harga CUMI ASAM MANIS: Rp.58.000","harga"
"cumi asam manis harganya?","Harga CUMI ASAM MANIS: Rp.58.000","harga"
"harga CUMI GORENG RICA?","Harga CUMI GORENG RICA: Rp.50.000","harga"
"cumi goreng rica berapa?","Harga CUMI GORENG RICA: Rp.50.000","harga"
"fried rica squid price","Harga CUMI GORENG RICA: Rp.50.000","harga"
"harga cumi rica goreng","Harga CUMI GORENG RICA: Rp.50.000","harga"
"cumi goreng rica harganya?","Harga CUMI GORENG RICA: Rp.50.000","harga"
"harga CUMI SAUS PADANG?","Harga CUMI SAUS PADANG: Rp.58.000","harga"
"cumi saus padang berapa?","Harga CUMI SAUS PADANG: Rp.58.000","harga"
"padang sauce squid price","Harga CUMI SAUS PADANG: Rp.58.000","harga"
"harga cumi padang","Harga CUMI SAUS PADANG: Rp.58.000","harga"
"cumi saus padang harganya?","Harga CUMI SAUS PADANG: Rp.58.000","harga"
"daftar harga menu cumi","Berikut daftar harga menu cumi: Basic Rp.50.000 (4 varian), Standard Rp.55.000 (1 varian), Premium Rp.58.000 (10 varian)","harga"
"harga semua olahan cumi","Menu cumi: Saus Inggris/Mentega/Woku/Goreng Rica Rp.50.000, Royal's Rp.55.000, lainnya Rp.58.000","harga"
"price list squid","Cumi harga: Rp.50.000 (4 varian), Rp.55.000 (Royal's), Rp.58.000 (10 varian)","harga"
"cumi termahal berapa?","Menu cumi termahal: 10 varian dengan harga Rp.58.000 termasuk CUMI SAUS THAILAND, TELUR ASIN, MAYONAISE, TEPUNG, CABE GARAM, BAKAR, ASAM MANIS, SAUS PADANG","harga"
"cumi termurah apa?","Menu cumi termurah: CUMI SAUS INGGRIS, CUMI GORENG MENTEGA, CUMI WOKU, CUMI GORENG RICA Rp.50.000","harga"
"range harga cumi","Harga menu cumi mulai dari Rp.50.000 sampai Rp.58.000","harga"
"beda harga cumi goreng dan bakar","Cumi goreng dan bakar ada yang Rp.50.000 dan Rp.58.000, tergantung bumbunya","harga"
"cumi yang harga 50rb","Cumi harga Rp.50.000: SAUS INGGRIS, GORENG MENTEGA, WOKU, GORENG RICA","harga"
"cumi yang harga 58rb","Cumi harga Rp.58.000: SAUS THAILAND, TELUR ASIN, MAYONAISE, TEPUNG, CABE GARAM, BAKAR MENTEGA, BAKAR KECAP, BAKAR RICA, ASAM MANIS, SAUS PADANG","harga"
"recommend cumi yang enak","Cumi yang enak: CUMI ALA ROYAL'S Rp.55.000 (special) atau CUMI SAUS TELUR ASIN Rp.58.000 (premium)","menu"
"apa perbedaan cumi goreng tepung dan bakar?","CUMI GORENG TEPUNG: crispy digoreng, CUMI BAKAR: aroma bakar, kedua harga sama Rp.58.000","menu"
"cumi saus padang pedas?","Ya, CUMI SAUS PADANG memiliki rasa pedas khas Padang, harga Rp.58.000","menu"
"harga cumi untuk budget 55rb","Cumi harga Rp.55.000: CUMI ALA ROYAL'S","harga"
"cumi royal's worth it?","CUMI ALA ROYAL'S Rp.55.000 worth it karena merupakan menu special dengan rasa khas","menu"
"perbedaan cumi woku dan rica","CUMI WOKU: bumbu khas Manado, CUMI RICA: pedas khas Manado, harga berbeda Woku Rp.50.000, Rica Rp.50.000-58.000","menu"
"cumi bakar ada varian apa?","Cumi bakar: MENTEGA, KECAP, RICA semua harga Rp.58.000","menu"
"urutkan harga cumi dari termurah","Urutan harga: Basic Rp.50.000 (4 varian), Royal's Rp.55.000, Premium Rp.58.000 (10 varian)","harga"
"cumi dengan saus thailand","CUMI SAUS THAILAND Rp.58.000 dengan rasa asam pedas khas Thailand","menu"
"semua harga cumi bakar","Cumi bakar semua varian harga sama Rp.58.000","harga"
"makanan lainnya ada menu apa saja?","Menu Makanan lainnya yang tersedia yaitu: GOHU PEPAYA, JAGUNG KEJU, PISANG GORENG KIPAS, PISANG GORENG MULUT BEBEK, PISANG RAJA GORENG KEJU, KENTANG GORENG, LUMPIA MINI, PANGSIT GORENG dan ROTI BAKAR","menu"
"menu makanan lainnya apa yang ada?","Menu Makanan lainnya yang tersedia yaitu: GOHU PEPAYA, JAGUNG KEJU, PISANG GORENG KIPAS, PISANG GORENG MULUT BEBEK, PISANG RAJA GORENG KEJU, KENTANG GORENG, LUMPIA MINI, PANGSIT GORENG dan ROTI BAKAR","menu"
"other food menu apa saja?","Menu Makanan lainnya yang tersedia yaitu: GOHU PEPAYA, JAGUNG KEJU, PISANG GORENG KIPAS, PISANG GORENG MULUT BEBEK, PISANG RAJA GORENG KEJU, KENTANG GORENG, LUMPIA MINI, PANGSIT GORENG dan ROTI BAKAR","menu"
"snack dan appetizer apa yang tersedia?","Menu Makanan lainnya yang tersedia yaitu: GOHU PEPAYA, JAGUNG KEJU, PISANG GORENG KIPAS, PISANG GORENG MULUT BEBEK, PISANG RAJA GORENG KEJU, KENTANG GORENG, LUMPIA MINI, PANGSIT GORENG dan ROTI BAKAR","menu"
"makanan pendamping ada apa?","Menu Makanan lainnya yang tersedia yaitu: GOHU PEPAYA, JAGUNG KEJU, PISANG GORENG KIPAS, PISANG GORENG MULUT BEBEK, PISANG RAJA GORENG KEJU, KENTANG GORENG, LUMPIA MINI, PANGSIT GORENG dan ROTI BAKAR","menu"
"apakah ada gohu pepaya?","Tersedia Gohu Pepaya: Rp.16.000","menu"
"apakah ada jagung keju?","Tersedia Jagung Keju: Rp.31.000","menu"
"apakah ada pisang goreng kipas?","Tersedia Pisang Goreng Kipas: Rp.26.000","menu"
"apakah ada pisang goreng mulut bebek?","Tersedia Pisang Goreng Mulut Bebek: Rp.26.000","menu"
"apakah ada pisang raja goreng keju?","Tersedia Pisang Raja Goreng Keju: Rp.26.000","menu"
"apakah ada kentang goreng?","Tersedia Kentang Goreng: Rp.29.000","menu"
"apakah ada lumpia mini?","Tersedia Lumpia Mini: Rp.34.000","menu"
"apakah ada pangsit goreng?","Tersedia Pangsit Goreng: Rp.22.000","menu"
"apakah ada roti bakar?","Tersedia Roti Bakar: Rp.22.000","menu"
"harga GOHU PEPAYA?","Harga GOHU PEPAYA: Rp.16.000","harga"
"gohu pepaya berapa?","Harga GOHU PEPAYA: Rp.16.000","harga"
"papaya salad price","Harga GOHU PEPAYA: Rp.16.000","harga"
"harga salad pepaya","Harga GOHU PEPAYA: Rp.16.000","harga"
"gohu pepaya harganya?","Harga GOHU PEPAYA: Rp.16.000","harga"
"harga JAGUNG KEJU?","Harga JAGUNG KEJU: Rp.31.000","harga"
"jagung keju berapa?","Harga JAGUNG KEJU: Rp.31.000","harga"
"corn with cheese price","Harga JAGUNG KEJU: Rp.31.000","harga"
"harga jagung keju","Harga JAGUNG KEJU: Rp.31.000","harga"
"jagung keju harganya?","Harga JAGUNG KEJU: Rp.31.000","harga"
"harga PISANG GORENG KIPAS?","Harga PISANG GORENG KIPAS: Rp.26.000","harga"
"pisang goreng kipas berapa?","Harga PISANG GORENG KIPAS: Rp.26.000","harga"
"fan shaped banana fritter price","Harga PISANG GORENG KIPAS: Rp.26.000","harga"
"harga pisang kipas","Harga PISANG GORENG KIPAS: Rp.26.000","harga"
"pisang kipas harganya?","Harga PISANG GORENG KIPAS: Rp.26.000","harga"
"harga PISANG GORENG MULUT BEBEK?","Harga PISANG GORENG MULUT BEBEK: Rp.26.000","harga"
"pisang goreng mulut bebek berapa?","Harga PISANG GORENG MULUT BEBEK: Rp.26.000","harga"
